"filename", "language", "JSON", "TypeScript", "Markdown", "XML", "Properties", "TypeScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\.env", "Properties", 0, 0, 0, 0, 28, 0, 0, 0, 11, 4, 43
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\REDIS_SETUP.md", "Markdown", 0, 0, 109, 0, 0, 0, 0, 0, 0, 47, 156
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\SETUP.md", "Markdown", 0, 0, 92, 0, 0, 0, 0, 0, 0, 37, 129
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\package-lock.json", "JSON", 2045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2045
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\scripts\migration\01-academic-migration.ts", "TypeScript", 0, 1066, 0, 0, 0, 0, 0, 0, 29, 44, 1139
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\scripts\migration\02-enrollment-migration.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 5, 24, 130
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\scripts\migration\03-bookmark-migration.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 5, 9, 53
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\scripts\migration\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\scripts\migration\database-backup.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 3, 15, 69
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\scripts\migration\run-migration.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 6, 20, 139
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\scripts\migration\types.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 2, 9, 51
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\config\aws.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 6, 10, 64
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\config\cloudinary.ts", "TypeScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, -2, -9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\auth.controllers.ts", "TypeScript", 0, 457, 0, 0, 0, 0, 0, 0, 35, 79, 571
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\chat.controllers.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 3, 1, 9
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\course.controllers.ts", "TypeScript", 0, 587, 0, 0, 0, 0, 0, 0, 97, 120, 804
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\dashboard.controllers.ts", "TypeScript", 0, 334, 0, 0, 0, 0, 0, 0, 55, 66, 455
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\material.controller.ts", "TypeScript", 0, -715, 0, 0, 0, 0, 0, 0, -37, -117, -869
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\material.controllers.ts", "TypeScript", 0, 1208, 0, 0, 0, 0, 0, 0, 92, 196, 1496
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\onboarding.controllers.ts", "TypeScript", 0, 258, 0, 0, 0, 0, 0, 0, 45, 62, 365
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\program.controllers.ts", "TypeScript", 0, 328, 0, 0, 0, 0, 0, 0, 74, 90, 492
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\school.controllers.ts", "TypeScript", 0, 283, 0, 0, 0, 0, 0, 0, 70, 79, 432
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\session.controllers.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 19, 19, 124
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\upload.controllers.ts", "TypeScript", 0, 287, 0, 0, 0, 0, 0, 0, 44, 53, 384
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\controllers\user.controllers.ts", "TypeScript", 0, 772, 0, 0, 0, 0, 0, 0, 47, 87, 906
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\lib\schoolData.ts", "TypeScript", 0, 983, 0, 0, 0, 0, 0, 0, 8, 12, 1003
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleWare\auth.middleware.ts", "TypeScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, -7, -38
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleWare\material.middleware.ts", "TypeScript", 0, -272, 0, 0, 0, 0, 0, 0, -24, -47, -343
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\auth.middleware.ts", "TypeScript", 0, 199, 0, 0, 0, 0, 0, 0, 42, 48, 289
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\error.middleware.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 12, 12, 100
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\material.middleware.ts", "TypeScript", 0, 287, 0, 0, 0, 0, 0, 0, 27, 53, 367
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\rateLimiter.ts", "TypeScript", 0, 96, 0, 0, 0, 0, 0, 0, 16, 21, 133
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\session.middleware.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 0, 12, 17, 112
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\upload.middleware.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 4, 4, 38
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\auth.validation.ts", "TypeScript", 0, 397, 0, 0, 0, 0, 0, 0, 49, 66, 512
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\common.validation.ts", "TypeScript", 0, 132, 0, 0, 0, 0, 0, 0, 14, 30, 176
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\course.validation.ts", "TypeScript", 0, 172, 0, 0, 0, 0, 0, 0, 14, 24, 210
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\enrollment.validation.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 5, 16, 82
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\onboarding.validation.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 4, 16, 89
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\password.validation.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 5, 28
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\program.validation.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 0, 0, 3, 25, 137
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\query.validation.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 6, 25, 131
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\school.validation.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 2, 16, 90
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\session.validation.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 12, 15, 88
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\middleware\validation\user.validation.ts", "TypeScript", 0, 174, 0, 0, 0, 0, 0, 0, 8, 40, 222
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\BookMark.ts", "TypeScript", 0, 206, 0, 0, 0, 0, 0, 0, 12, 38, 256
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\Course.ts", "TypeScript", 0, 269, 0, 0, 0, 0, 0, 0, 6, 7, 282
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\Enrollment.ts", "TypeScript", 0, 260, 0, 0, 0, 0, 0, 0, 11, 33, 304
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\File.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 3, 66
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\Material.ts", "TypeScript", 0, -311, 0, 0, 0, 0, 0, 0, -21, -41, -373
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\Notification.ts", "TypeScript", 0, 331, 0, 0, 0, 0, 0, 0, 15, 44, 390
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\Post.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, -2, -6
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\Program.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 0, 0, 3, 4, 132
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\Report.ts", "TypeScript", 0, 413, 0, 0, 0, 0, 0, 0, 21, 59, 493
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\School.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 3, 4, 66
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\StudyMaterial.ts", "TypeScript", 0, 479, 0, 0, 0, 0, 0, 0, 35, 56, 570
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\User.ts", "TypeScript", 0, 389, 0, 0, 0, 0, 0, 0, 27, 40, 456
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\models\UserSession.ts", "TypeScript", 0, 97, 0, 0, 0, 0, 0, 0, 7, 11, 115
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\auth.routes.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 18, 14, 94
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\chat.routes.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 9, 2, 13
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\course.routes.ts", "TypeScript", 0, 278, 0, 0, 0, 0, 0, 0, 120, 51, 449
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\dashboard.routes.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 42, 11, 104
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\material.routes.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, -36, -4, -20
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\onboarding.routes.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 24, 10, 56
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\program.routes.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 45, 15, 96
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\school.routes.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 45, 15, 97
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\session.routes.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 21, 8, 54
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\upload.routes.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 19, 7, 37
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\routes\user.routes.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 100, 18, 154
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\server.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 7, 5, 50
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\types\Academic.ts", "TypeScript", 0, 290, 0, 0, 0, 0, 0, 0, 14, 24, 328
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\types\express\index.d.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\types\studyMaterial.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\types\uploadTypes\post.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 1, 3, 41
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\types\uploadTypes\upload.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 1, 3, 46
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\uploadTypes\post.ts", "TypeScript", 0, -37, 0, 0, 0, 0, 0, 0, -1, -3, -41
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\uploadTypes\upload.ts", "TypeScript", 0, -30, 0, 0, 0, 0, 0, 0, -1, -2, -33
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\Api.utils.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 10, 16, 106
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\ApiError.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 12, 4, 41
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\ApiResponse.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 20, 3, 36
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\Cache.utils.ts", "TypeScript", 0, 254, 0, 0, 0, 0, 0, 0, 42, 60, 356
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\Date.utils.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 6, 11, 93
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\Format.utils.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 15, 21, 120
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\Random.utils.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 16, 16, 97
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\Search.utils.ts", "TypeScript", 0, 149, 0, 0, 0, 0, 0, 0, 18, 35, 202
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\Stats.utils.ts", "TypeScript", 0, 404, 0, 0, 0, 0, 0, 0, 15, 53, 472
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\asyncHandler.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 20, 4, 36
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\database.utils.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 9, 12, 94
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\email.utils.ts", "TypeScript", 0, 295, 0, 0, 0, 0, 0, 0, 16, 36, 347
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\jwt.enhanced.ts", "TypeScript", 0, 176, 0, 0, 0, 0, 0, 0, 43, 43, 262
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\logger.utils.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 7, 20, 119
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\migration.utilts.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 3, 7, 37
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\password.security.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 3, 4, 30
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\session.utils.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 13, 20, 120
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\typeValidation.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\src\utils\validation.ts", "TypeScript", 0, -60, 0, 0, 0, 0, 0, 0, -13, -15, -88
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\types\express\index.d.ts", "TypeScript", 0, -14, 0, 0, 0, 0, 0, 0, -1, -1, -16
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\backend\types\studyMaterial.ts", "TypeScript", 0, -28, 0, 0, 0, 0, 0, 0, 0, -4, -32
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\app-build-manifest.json", "JSON", -27, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\cache\images\EcapzrmLt-cUuvFBiJxyrnXErpWYY8fAW_XAzrgayok\60.1750657667526.Vy8iNDBiLTE5NzM3YzZkNWE2Ig.Vy8iNDBiLTE5NzM3YzZkNWE2Ig.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app-paths-manifest.json", "JSON", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\app-build-manifest.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\next-font-manifest.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\react-loadable-manifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page\server-reference-manifest.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\files\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page\app-build-manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page\next-font-manifest.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page\react-loadable-manifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page\server-reference-manifest.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\materials\upload\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
